cnes;municipality_code;uf;health_region_code;health_region_id;source_file
9808558;120038;AC;;;STAC2101.dbf
0102938;120039;AC;;;STAC2101.dbf
2001748;120039;AC;;;STAC2101.dbf
5661714;120039;AC;;;STAC2101.dbf
6308740;120039;AC;;;STAC2101.dbf
6504043;120039;AC;;;STAC2101.dbf
7554923;120039;AC;;;STAC2101.dbf
7959087;120039;AC;;;STAC2101.dbf
7974698;120039;AC;;;STAC2101.dbf
9216103;120039;AC;;;STAC2101.dbf
9315578;120039;AC;;;STAC2101.dbf
9855297;120039;AC;;;STAC2101.dbf
9934499;120039;AC;;;STAC2101.dbf
0058378;120040;AC;;;STAC2101.dbf
0062464;120040;AC;;;STAC2101.dbf
0062553;120040;AC;;;STAC2101.dbf
0068381;120040;AC;;;STAC2101.dbf
0068403;120040;AC;;;STAC2101.dbf
0070025;120040;AC;;;STAC2101.dbf
0070165;120040;AC;;;STAC2101.dbf
0073547;120040;AC;;;STAC2101.dbf
0073628;120040;AC;;;STAC2101.dbf
0076406;120040;AC;;;STAC2101.dbf
0085065;120040;AC;;;STAC2101.dbf
0109479;120040;AC;;;STAC2101.dbf
0109576;120040;AC;;;STAC2101.dbf
0110418;120040;AC;;;STAC2101.dbf
0117382;120040;AC;;;STAC2101.dbf
0127701;120040;AC;;;STAC2101.dbf
0128619;120040;AC;0001;AC-0001;STAC2101.dbf
0145645;120040;AC;;;STAC2101.dbf
0178462;120040;AC;;;STAC2101.dbf
0178470;120040;AC;;;STAC2101.dbf
0198374;120040;AC;;;STAC2101.dbf
0211656;120040;AC;;;STAC2101.dbf
0215430;120040;AC;;;STAC2101.dbf
0227110;120040;AC;;;STAC2101.dbf
0259578;120040;AC;;;STAC2101.dbf
0262870;120040;AC;;;STAC2101.dbf
0264016;120040;AC;;;STAC2101.dbf
0264032;120040;AC;0003;AC-0003;STAC2101.dbf
0265470;120040;AC;;;STAC2101.dbf
0303445;120040;AC;;;STAC2101.dbf
0315915;120040;AC;;;STAC2101.dbf
0371084;120040;AC;;;STAC2101.dbf
0395196;120040;AC;;;STAC2101.dbf
0398632;120040;AC;;;STAC2101.dbf
0416045;120040;AC;;;STAC2101.dbf
