distance_min_km,source_node_id,source_name,source_municipality_code,source_health_region_id,total_flow,target_facilities,top_target_node_id,top_target_name,top_target_flow,top_target_share,cross_health_region_flow,cross_health_region_share,cross_uf_flow,cross_uf_share,weighted_mean_distance_km,max_edge_distance_km
25.0,municipality:290755,Caturama - BA,290755,BA-0023,114.0,7,facility:4029607,HOSPITAL AURELIO JUSTINIANO ROCHA,65.0,0.570175,49.0,0.429825,0.0,0.0,145.708388,420.439327
25.0,municipality:430480,Carlos Barbosa - RS,430480,RS-0005,156.0,8,facility:2223538,HOSPITAL GERAL,70.0,0.448718,67.0,0.429487,26.0,0.166667,531.444798,2932.174144
25.0,municipality:510170,Barra do Bugres - MT,510170,MT-0005,709.0,13,facility:2472244,HOSPITAL MUNICIPAL DR MANUELA MACHADO BARBOSA GOMES,379.0,0.534556,304.0,0.428773,0.0,0.0,129.233121,284.199681
25.0,municipality:353970,Platina - SP,353970,SP-0209,14.0,2,facility:2083116,SANTA CASA DE MARILIA,8.0,0.571429,6.0,0.428571,0.0,0.0,105.679063,174.936519
25.0,municipality:353190,Morro Agudo - SP,353190,SP-0208,514.0,10,facility:2705982,SANTA CASA DE FRANCA,183.0,0.356031,220.0,0.428016,0.0,0.0,70.137402,358.662999
25.0,municipality:290800,Coaraci - BA,290800,BA-0007,374.0,13,facility:2385171,HOSPITAL DE BASE LUIS EDUARDO MAGALHAES,180.0,0.481283,160.0,0.427807,9.0,0.024064,99.087161,1245.562278
25.0,municipality:520840,Goianápolis - GO,520840,GO-0003,216.0,12,facility:3771962,HOSPITAL ESTADUAL DE ANAPOLIS DR HENRIQUE SANTILLO HEANA,84.0,0.388889,92.0,0.425926,0.0,0.0,35.389168,75.01079
25.0,municipality:521270,Mambaí - GO,521270,GO-0002,235.0,13,facility:2534916,HOSPITAL MUNICIPAL DE ALVORADA DO NORTE,127.0,0.540426,100.0,0.425532,36.0,0.153191,180.813739,427.555419
25.0,municipality:210095,Arame - MA,210095,MA-0016,564.0,13,facility:6957501,HOSPITAL REGIONAL DE GRAJAU DR JOSE JORGE,262.0,0.464539,240.0,0.425532,0.0,0.0,130.672843,336.367895
25.0,municipality:314160,Mercês - MG,314160,MG-0018,346.0,13,facility:2195437,HOSPITAL SANTA ISABEL,151.0,0.436416,147.0,0.424855,0.0,0.0,52.367068,100.555382
25.0,municipality:315720,Santa Bárbara - MG,315720,MG-0009,645.0,22,facility:2215586,HOSPITAL NOSSA SENHORA DAS DORES,231.0,0.35814,274.0,0.424806,5.0,0.007752,59.498528,988.323413
25.0,municipality:430175,Barão do Triunfo - RS,430175,RS-0002,318.0,11,facility:6424236,HRSJ HOSPITAL REGIONAL DE SAO JERONIMO,183.0,0.575472,135.0,0.424528,0.0,0.0,61.677375,96.703126
25.0,municipality:313820,Lavras - MG,313820,MG-0011,417.0,16,facility:2761092,HOSPITAL BOM PASTOR,158.0,0.378897,177.0,0.42446,25.0,0.059952,111.609602,291.854303
