node_id;node_type;name;municipality_code;latitude;longitude;capacity_beds;habilitation_level;is_public_hospital;analysis_scope;is_sus_linked;has_hospital_care;has_hospital_beds;is_public_admin;is_public_hospital_ref;coordinate_source;name_source;admissions;deaths;regulated_transfer_exits;median_stay_days;icu_marker_count;total_value;dominant_icd_chapter;dominant_sex;dominant_race_color;mean_age;mean_stay_days;death_rate;regulated_transfer_exit_rate;icu_marker_rate;mean_value_per_admission
facility:0009628;facility;HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE;354990;-23.1806184;-45.85483410737851;;;True;included;1;1;1;1;1;cnes_api;cnes_api;24972.0;2408.0;1249.0;2.0;24972.0;33106046.7;O;3;01;41.85;4.552;0.096428;0.050016;1.0;1325.73
facility:0009695;facility;CENTRO DE REFERENCIA EM MOLESTIAS INFECCIOSAS;354990;-23.2008696;-45.8906204;;;False;excluded_non_public_hospital;;;;;;;;;;;;;;;;;;;;;;
facility:0009709;facility;EBSERH HOSP UNIV MARIA APARECIDA PEDROSSIAN;500270;-20.499085;-54.616465;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;9192.0;491.0;205.0;4.0;9192.0;15165821.38;O;3;03;35.988;8.138;0.053416;0.022302;1.0;1649.89
facility:0009717;facility;SANTA CASA;500270;-20.452376;-54.617009;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;30246.0;2154.0;323.0;3.0;30246.0;91164003.35;S;1;03;45.722;5.717;0.071216;0.010679;1.0;3014.08
facility:0009725;facility;HOSPITAL REGIONAL DE MATO GROSSO DO SUL;500270;-20.51349463373381;-54.65421438217163;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;12504.0;2165.0;981.0;7.0;12504.0;62487149.43;B;3;03;44.407;9.318;0.173145;0.078455;1.0;4997.37
facility:0009733;facility;HOSPITAL SAO JULIAO;500270;-20.375598;-54.55835;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;4230.0;105.0;138.0;0.25;4230.0;4650687.4;H;1;03;59.122;6.195;0.024823;0.032624;1.0;1099.45
facility:0009768;facility;ASSOCIACAO DE AMPARO A MATERNIDADE E A INFANCIA AAMI;500270;-20.458213;-54.605937;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;6655.0;27.0;105.0;2.0;6655.0;7377632.01;O;3;01;24.491;3.531;0.004057;0.015778;1.0;1108.58
facility:0009776;facility;HOSPITAL DO CANCER DR ALFREDO ABRAO;500270;-20.459997;-54.621063;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;3080.0;446.0;95.0;2.0;3080.0;6044033.87;C;3;99;61.343;4.031;0.144805;0.030844;1.0;1962.35
facility:0009792;facility;HOSPITAL NOSSO LAR;500270;-20.457023;-54.627954;;;False;excluded_non_public_hospital;;;;;;;;;;;;;;;;;;;;;;
facility:0010448;facility;SESAU CEDIP HD HOSPITAL DIA;500270;-20.410969;-54.572331;;;True;included;1;0;1;1;1;ibge_malha;synthetic_municipality;67.0;0.0;20.0;2.0;67.0;4605.86;B;1;01;44.507;8.284;0.0;0.298507;1.0;68.74
facility:0010456;facility;HOSPITAL DE BASE DO DISTRITO FEDERAL;530010;-15.799779534664651;-47.88970470428467;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;24781.0;2211.0;1571.0;5.0;24781.0;82731681.82;I;1;99;50.657;8.05;0.089222;0.063395;1.0;3338.51
facility:0010464;facility;HRAN;530010;-15.7857462;-47.8827625;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;9326.0;352.0;507.0;4.0;9326.0;15102079.0;B;3;99;44.723;7.206;0.037744;0.054364;1.0;1619.35
facility:0010472;facility;HRG;530010;-16.023221098308856;-48.069326877594;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;22202.0;498.0;1022.0;3.0;22202.0;18080402.59;O;3;99;30.664;4.539;0.02243;0.046032;1.0;814.36
facility:0010480;facility;HOSPITAL REGIONAL DE CEILANDIA;530010;-15.815563535970762;-48.09593439102173;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;20833.0;659.0;384.0;3.5;20833.0;20212076.8;O;3;99;32.765;5.635;0.031633;0.018432;1.0;970.2
facility:0010499;facility;HRT HOSPITAL REGIONAL DE TAGUATINGA;530010;-15.82247961680422;-48.0692195892334;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;22909.0;721.0;1564.0;3.0;22909.0;18940768.95;O;3;99;30.468;5.923;0.031472;0.06827;1.0;826.78
