facility_node_id;admissions;deaths;regulated_transfer_exits;median_stay_days;icu_marker_count;total_value;dominant_icd_chapter;dominant_sex;dominant_race_color;mean_age;mean_stay_days;death_rate;regulated_transfer_exit_rate;icu_marker_rate;mean_value_per_admission
facility:2012685;6807;181;26;3.0;6807;6950457.21;K;1;99;45.863;6.635;0.02659;0.00382;1.0;1021.07
facility:2012804;835;10;29;3.0;835;357836.01;O;3;03;29.493;3.291;0.011976;0.034731;1.0;428.55
facility:2012839;636;6;21;4.75;636;486886.06;B;3;03;45.407;4.898;0.009434;0.033019;1.0;765.54
facility:2013029;2503;3;17;3.0;2503;1831577.08;O;3;03;23.672;3.732;0.001199;0.006792;1.0;731.75
facility:2013045;1280;17;29;2.0;1280;704566.24;O;3;03;32.179;2.366;0.013281;0.022656;1.0;550.44
facility:2013258;5920;157;697;2.0;5920;3831991.03;O;3;03;33.608;2.949;0.02652;0.117736;1.0;647.3
facility:2013274;1109;0;284;5.75;1109;498713.59;C;1;03;19.009;7.488;0.0;0.256087;1.0;449.7
facility:2013282;970;15;7;2.5;970;507364.7;O;3;03;37.476;3.698;0.015464;0.007216;1.0;523.06
facility:2013320;1093;49;170;2.0;1093;680480.05;O;3;03;40.152;3.379;0.044831;0.155535;1.0;622.58
facility:2013495;262;2;38;2.0;262;145990.23;O;3;03;30.805;2.523;0.007634;0.145038;1.0;557.21
facility:2013606;2959;390;84;9.0;2959;4335810.28;B;1;99;37.114;11.701;0.131801;0.028388;1.0;1465.3
facility:2013614;1090;4;29;3.0;1090;638105.59;O;3;03;27.339;2.825;0.00367;0.026606;1.0;585.42
facility:2013649;15608;2839;1659;5.0;15608;36355217.22;K;1;03;52.881;7.541;0.181894;0.106292;1.0;2329.27
facility:2014688;2406;70;47;2.0;2406;1447610.02;O;3;03;32.386;2.623;0.029094;0.019534;1.0;601.67
facility:2015242;708;19;48;3.0;708;301261.49;O;3;03;32.124;3.123;0.026836;0.067797;1.0;425.51
facility:2016125;364;51;99;5.75;364;386387.12;B;1;99;49.783;6.632;0.14011;0.271978;1.0;1061.5
facility:2016141;5075;150;548;2.25;5075;3118062.95;O;3;03;29.773;3.58;0.029557;0.10798;1.0;614.4
facility:2016249;487;12;50;2.75;487;345211.28;B;3;03;36.491;3.464;0.024641;0.102669;1.0;708.85
facility:2016354;903;14;60;2.0;903;501877.39;O;3;03;32.229;3.048;0.015504;0.066445;1.0;555.79
facility:2016397;1587;36;24;3.0;1587;788078.26;O;3;99;31.916;3.207;0.022684;0.015123;1.0;496.58
facility:2016419;650;2;3;3.0;650;229545.5;O;3;03;30.805;3.275;0.003077;0.004615;1.0;353.15
facility:2016443;1016;12;49;2.0;1016;649408.35;O;3;03;31.098;2.09;0.011811;0.048228;1.0;639.18
facility:2016478;290;1;12;3.0;290;147649.48;O;3;05;31.521;3.476;0.003448;0.041379;1.0;509.14
facility:2016540;675;17;56;2.0;675;403337.24;O;3;03;35.145;2.584;0.025185;0.082963;1.0;597.54
facility:2016567;280;0;11;1.5;280;85794.22;O;3;03;29.143;2.914;0.0;0.039286;1.0;306.41
facility:2016605;845;26;82;2.5;845;406504.59;O;3;03;31.8;3.008;0.030769;0.097041;1.0;481.07
facility:2016648;324;1;29;3.0;324;184220.84;O;3;05;31.969;3.414;0.003086;0.089506;1.0;568.58
facility:2016656;444;0;7;2.0;444;153019.43;O;3;03;30.3;3.315;0.0;0.015766;1.0;344.64
facility:2016672;370;5;76;1.0;370;159569.81;O;3;03;29.751;2.473;0.013514;0.205405;1.0;431.27
